,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
0,2024-01-01 00:15:19,FOXNEWSW,6,FOXNEWSW_20240101_000000_The_Big_Weekend_Show/start/900,"CBP: 300,000+ MIGRANT ENCOUNTERS IN DECEMBER | &ioon ()",CBP 300000 MIGRANT ENCOUNTERS IN DECEMBER ioon,CBP 300000 MIGRANT ENCOUNTERS IN DECEMBER
1,2024-01-01 00:15:27,FOXNEWSW,8,FOXNEWSW_20240101_000000_The_Big_Weekend_Show/start/900,"CBP: 780,000 MIGRANT ENCOUNTERS IN FIRST QUARTER",CBP 780000 MIGRANT ENCOUNTERS IN FIRST QUARTER,CBP 780000 MIGRANT ENCOUNTERS IN FIRST QUARTER
2,2024-01-01 00:15:45,FOXNEWSW,3,FOXNEWSW_20240101_000000_The_Big_Weekend_Show/start/900,MASSIVE MIGRANT CARAVAN MOVES NORTH THROUGH MEXICO,MASSIVE MIGRANT CARAVAN MOVES NORTH THROUGH MEXICO,MASSIVE MIGRANT CARAVAN MOVES NORTH THROUGH MEXICO
3,2024-01-01 00:16:14,FOXNEWSW,2,FOXNEWSW_20240101_000000_The_Big_Weekend_Show/start/960,* BORDER AGENTS TAKEN OFF PATROLTO PROCESS MIGRANTS,BORDER AGENTS TAKEN OFF PATROLTO PROCESS MIGRANTS,BORDER AGENTS TAKEN OFF PATROL TO PROCESS MIGRANTS
4,2024-01-01 09:13:23,BBCNEWS,5,BBCNEWS_20240101_090000_BBC_News/start/780,EU visa restrictions lifted for Kosovo,EU visa restrictions lifted for Kosovo,
5,2024-01-01 09:41:45,CNNW,17,CNNW_20240101_090000_CNN_Newsroom_Live/start/2460,TEXAS CONTINUES TO SEND MIGRANTS TO OTHER CITIES,TEXAS CONTINUES TO SEND MIGRANTS TO OTHER CITIES,TEXAS CONTINUES TO SEND MIGRANTS TO OTHER CITIES
8,2024-01-01 12:32:22,FOXNEWSW,11,FOXNEWSW_20240101_120000_FOX_and_Friends/start/1920,CBP: MIGRANTS POSING AS MINORS W/ FAKE PASSPORTS,CBP MIGRANTS POSING AS MINORS W FAKE PASSPORTS,CBP MIGRANTS POSING AS MINORS WITH FAKE PASSPORTS
9,2024-01-01 12:32:44,FOXNEWSW,4,FOXNEWSW_20240101_120000_FOX_and_Friends/start/1920,"> CHAD WOLF | FORMER ACTING DHS SECRETARY. CBP: 300K+ MIGRANT ENCOUNTERS FOR DEC,",CHAD WOLF FORMER ACTING DHS SECRETARY CBP 300K MIGRANT ENCOUNTERS FOR DEC,CHAD WOLF FORMER ACTING DHS SECRETARY CBP 300K MIGRANT ENCOUNTERS FOR DEC
10,2024-01-01 12:33:00,FOXNEWSW,4,FOXNEWSW_20240101_120000_FOX_and_Friends/start/1980,"AN /7. /A. CBP: 300K+ MIGRANT ENCOUNTERS FOR DEC,. HIGHEST EVER ON RECORD",AN 7 A CBP 300K MIGRANT ENCOUNTERS FOR DEC HIGHEST EVER ON RECORD,AN 7 A CBP 300K MIGRANT ENCOUNTERS FOR DEC HIGHEST EVER ON RECORD
12,2024-01-01 13:11:12,FOXNEWSW,2,FOXNEWSW_20240101_130000_FOX_and_Friends/start/660,DEC: WH DOWNPLAYS RECORD MONTH AT THE BORDER,DEC WH DOWNPLAYS RECORD MONTH AT THE BORDER,DEC WH DOWNPLAYS RECORD MONTH AT THE BORDER
